计数项:PassengerId,Survived,,
Embarked,0,1,总计
C,75,93,168
Q,47,30,77
S,427,217,644
总计,549,340,889
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,0,1,
C,45%,55%,
Q,61%,39%,
S,66%,34%,
3,62%,38%,
4,#DIV/0!,#DIV/0!,
5,#DIV/0!,#DIV/0!,
6,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,
,#DIV/0!,#DIV/0!,